"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Bevolking/Aantal inwoners (aantal)";"Bevolking/Bevolking naar herkomst/Herkomstland/Nederland (aantal)";"Bevolking/Bevolking naar herkomst/Herkomstland/Europa (exclusief Nederland)  (aantal)";"Bevolking/Bevolking naar herkomst/Herkomstland/Buiten Europa  (aantal)"
"Oosterstraat";"Deventer                                ";1895;1175;220;500
"Rielerweg-West";"Deventer                                ";1535;960;170;400
"Rielerweg-Oost";"Deventer                                ";1950;1340;165;450
"Brinkgreven";"Deventer                                ";215;135;15;65
"Borgele en Platvoet";"Deventer                                ";5370;3985;390;1000
"Borgele";"Deventer                                ";3660;2650;275;735
"Platvoet";"Deventer                                ";1710;1330;110;270
"Keizerslanden";"Deventer                                ";12370;8200;870;3305
"Ludgeruskwartier";"Deventer                                ";2620;1785;170;665
"Tuindorp";"Deventer                                ";1810;1170;150;490
"Rollecatekwartier";"Deventer                                ";1865;1560;120;190
"Oranjekwartier";"Deventer                                ";2430;1470;200;760
"Landsherenkwartier";"Deventer                                ";2385;1350;155;875
"Steenbrugge";"Deventer                                ";1270;865;70;330
"Rivierenwijk en Bergweide";"Deventer                                ";5665;2610;980;2085
"Rivierenbuurt";"Deventer                                ";1345;740;105;500
"Deltabuurt";"Deventer                                ";3090;1175;520;1395
"Hoornwerk";"Deventer                                ";670;485;60;125
"Industrieterrein";"Deventer                                ";210;135;20;55
"Kloosterlanden";"Deventer                                ";335;55;270;15
"Epse-Noord";"Deventer                                ";20;20;5;0
"Colmschate-Noord";"Deventer                                ";5840;4440;510;895
"Het Oostrik";"Deventer                                ";2280;1555;240;485
"Groot Douwel";"Deventer                                ";2005;1645;160;200
"Blauwenoord";"Deventer                                ";1555;1240;115;205
"Colmschate-Vijfhoek";"Deventer                                ";12560;9765;605;2190
"Op den Haar";"Deventer                                ";2860;2360;150;345
"Steinvoorde";"Deventer                                ";1765;1360;85;315
"Graveland";"Deventer                                ";415;345;25;45
"Het Jeurlink";"Deventer                                ";2025;1525;130;365
"Het Fetlaer en Spijkvoorder Enk";"Deventer                                ";2750;2015;110;625
"Spikvoorde";"Deventer                                ";2665;2075;105;490
"Overig Colmschate-Noord";"Deventer                                ";80;75;0;0
"Colmschate-Zuid";"Deventer                                ";9115;7515;510;1095
"Snipperling";"Deventer                                ";350;295;20;40
"Dorp Colmschate";"Deventer                                ";1220;1050;85;80
"De Scheg";"Deventer                                ";0;0;0;0
"Colmschaterenk";"Deventer                                ";2245;1800;105;340
"Roessink";"Deventer                                ";985;780;65;135
"Het Bramelt";"Deventer                                ";1375;1145;60;170
"Essenerveld";"Deventer                                ";1365;1125;75;160
"Swormink";"Deventer                                ";1535;1280;85;165
"Handelspark De Weteringen";"Deventer                                ";0;0;0;0
"Bannink";"Deventer                                ";50;40;5;5
"Diepenveen";"Deventer                                ";4910;4315;235;360
"Dorp Diepenveen";"Deventer                                ";4585;4015;220;350
"Rande";"Deventer                                ";105;105;0;5
"Tjoene";"Deventer                                ";225;200;10;10
"Schalkhaar";"Deventer                                ";5940;4945;210;785
"Dorp Schalkhaar";"Deventer                                ";5475;4505;195;775
"Averlo en Frieswijk";"Deventer                                ";465;445;10;10
"Okkenbroek";"Deventer                                ";315;295;10;5
"Okkenbroek";"Deventer                                ";310;300;10;5
"Lettele";"Deventer                                ";1705;1610;55;45
"Dorp Lettele";"Deventer                                ";645;615;15;15
"Oude Molen";"Deventer                                ";105;95;0;5
"Buitengebied Lettele en Okkenbroek";"Deventer                                ";955;900;40;20
"Bathmen";"Deventer                                ";5925;5520;160;245
"Dorp Bathmen";"Deventer                                ";4550;4230;135;190
"Loo";"Deventer                                ";715;675;20;25
"Dortherhoek";"Deventer                                ";225;220;0;5
"Zuidloo";"Deventer                                ";275;255;0;15
"Oxerhof";"Deventer                                ";160;145;5;10
"Diemen";"Diemen                                  ";32977;15010;5485;12482
"Diemen Noord";"Diemen                                  ";6615;3660;775;2180
"Buytenstee";"Diemen                                  ";1900;1145;210;545
"Oud Diemen";"Diemen                                  ";50;25;5;15
"Vogelweide";"Diemen                                  ";1790;1015;175;605
"Scheepskwartier";"Diemen                                  ";1505;780;210;520
"Vlindertuin";"Diemen                                  ";1370;700;175;495
"Diemerpolder";"Diemen                                  ";5;0;0;0
"Diemen Centrum";"Diemen                                  ";10755;5305;1520;3935
"Centrum West";"Diemen                                  ";2395;1390;280;725
"Ruimzicht West";"Diemen                                  ";2190;1110;315;765
"Spoorzicht";"Diemen                                  ";345;150;25;170
"Buitenlust";"Diemen                                  ";360;220;30;115
"Spoordriehoek";"Diemen                                  ";0;0;0;0
"Ruimzicht Oost";"Diemen                                  ";2535;1120;305;1105
"Centrum Oost";"Diemen                                  ";1850;925;285;635
"Studentenflats Rode Kruislaan";"Diemen                                  ";1075;385;280;415
"Diemen Zuid";"Diemen                                  ";7445;3565;1045;2830
"Akkerland";"Diemen                                  ";1165;660;180;335
"Bomenrijk";"Diemen                                  ";1210;560;205;445
"Beukenhorst";"Diemen                                  ";815;350;45;415
"Anne Frank";"Diemen                                  ";400;260;40;100
"Schelpenhoek";"Diemen                                  ";885;435;125;325
"Kruidenhof";"Diemen                                  ";1290;490;165;630
"Polderland";"Diemen                                  ";690;300;100;290
"Biesbosch";"Diemen                                  ";980;510;190;285
"Bergwijkpark";"Diemen                                  ";40;0;0;40
"Bergwijkpark";"Diemen                                  ";40;0;0;40
"Holland Park";"Diemen                                  ";5345;910;1860;2575
"Campus Diemen Zuid";"Diemen                                  ";1880;145;595;1145
"Holland Park";"Diemen                                  ";3285;735;1175;1370
"Holland Park Zuid";"Diemen                                  ";90;0;75;15
"Holland Park West";"Diemen                                  ";95;35;10;50
"Bedrijventerreinen";"Diemen                                  ";45;40;5;0
"Verrijn Stuart";"Diemen                                  ";25;20;0;5
"De Sniep";"Diemen                                  ";0;0;0;0
"Stammerdijk";"Diemen                                  ";20;20;5;0
"Plantage de Sniep";"Diemen                                  ";2580;1420;270;895
"Plantage de Sniep Zuid";"Diemen                                  ";970;580;100;295
"Plantage de Sniep Noord";"Diemen                                  ";1610;845;165;595
"Sportpark De Diemen";"Diemen                                  ";0;0;0;0
"Buitengebied";"Diemen                                  ";145;110;10;25
"Gemeenschapspolder";"Diemen                                  ";100;75;0;20
"Overdiemerpolder";"Diemen                                  ";30;25;5;5
"Overdiemen";"Diemen                                  ";15;15;0;0
"Diemer Vijfhoek";"Diemen                                  ";0;0;0;0
"Dijk en Waard";"Dijk en Waard                           ";90076;70504;6197;13375
"Oudkarspel";"Dijk en Waard                           ";3835;3325;185;320
"Oudkarspel Noord";"Dijk en Waard                           ";1415;1235;70;110
"Oudkarspel Zuid";"Dijk en Waard                           ";1805;1570;70;160
"Laanweg en Waarddijk";"Dijk en Waard                           ";445;365;40;40
"Bedrijventerrein Breekland";"Dijk en Waard                           ";0;0;0;0
"Buitengebied Oudkarspel";"Dijk en Waard                           ";165;155;5;10
"Noord-Scharwoude";"Dijk en Waard                           ";5985;5160;310;515
"Noord-Scharwoude Oost";"Dijk en Waard                           ";3420;2875;190;355
"Noord-Scharwoude West";"Dijk en Waard                           ";2355;2095;105;145
"Bedrijventerrein De Mossel";"Dijk en Waard                           ";30;30;5;0
"Bedrijventerrein De Wuyver";"Dijk en Waard                           ";35;35;0;0
"Buitengebied Noord-Scharwoude";"Dijk en Waard                           ";140;125;10;5
"Zuid-Scharwoude";"Dijk en Waard                           ";6865;5935;310;620
"Zuid-Scharwoude Oost";"Dijk en Waard                           ";2155;1795;110;250
"Zuid-Scharwoude West";"Dijk en Waard                           ";1670;1465;65;140
"Mayersloot Noord";"Dijk en Waard                           ";1270;1115;55;105
"Westerdel Noord";"Dijk en Waard                           ";885;785;30;70
"Duizend Eilandenrijk Noord";"Dijk en Waard                           ";840;740;50;55
"Buitengebied Zuid-Scharwoude";"Dijk en Waard                           ";45;45;0;0
"Broek op Langedijk";"Dijk en Waard                           ";6045;5160;315;570
"Broek op Langedijk kern";"Dijk en Waard                           ";2220;1895;120;210
"Westerdel Zuid";"Dijk en Waard                           ";800;595;60;145
"Mayersloot Zuid";"Dijk en Waard                           ";2215;1955;85;170
"Duizend Eilandenrijk Zuid";"Dijk en Waard                           ";720;645;35;40
"Oosterdel";"Dijk en Waard                           ";5;0;0;0
"Bedrijventerrein Zuiderdel";"Dijk en Waard                           ";80;60;15;5
"Buitengebied Broek op Langedijk";"Dijk en Waard                           ";5;0;0;0
"Sint-Pancras";"Dijk en Waard                           ";5860;5110;255;495
"Sint-Pancras kern";"Dijk en Waard                           ";4040;3565;155;320
"Twuyverhoek en Oostwal";"Dijk en Waard                           ";1755;1490;95;170
